Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions	Id	Common-Name
L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	Amino Acid Degradation	L-tryptophan Degradation	Bacteria <bacteria> // Fungi // Metazoa	Burkholderia cenocepacia // Homo sapiens // Mus musculus // Rattus norvegicus // Saccharomyces cerevisiae	L-tryptophan + dioxygen  ->  N-formyl-L-kynurenine // 3-hydroxyanthranilate + dioxygen  ->  2-amino-3-carboxymuconate-6-semialdehyde // 3-hydroxy-L-kynurenine + H2O  ->  3-hydroxyanthranilate + L-alanine + H+ // L-kynurenine + NADPH + dioxygen + H+  ->  3-hydroxy-L-kynurenine + NADP+ + H2O // N-formyl-L-kynurenine + H2O  ->  L-kynurenine + formate + H+	PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
L-lyxose degradation	Carbohydrate Degradation	Sugar Degradation	Bacteria <bacteria>	Escherichia coli	L-ribulose 5-phosphate  <-->  D-xylulose 5-phosphate // L-ribulose 5-phosphate  <-  L-xylulose 5-phosphate // L-xylulose + ATP  ->  L-xylulose 5-phosphate + ADP + H+ // beta-L-lyxopyranose  <-->  L-xylulose	LYXMET-PWY	L-lyxose degradation
superpathway of cardiolipin biosynthesis (bacteria)	Superpathways // Fatty Acid and Lipid Biosynthesis	Cardiolipin Biosynthesis // Superpathways	Bacteria <bacteria>	Bradyrhizobium diazoefficiens // Escherichia coli // Sinorhizobium meliloti // Staphylococcus aureus // Streptococcus pneumoniae // Xanthomonas campestris // Xanthomonas campestris	a CDP-diacylglycerol + a phosphatidylglycerol  ->  a cardiolipin + CMP + H+ // CDP-diacylglycerol biosynthesis III // cardiolipin biosynthesis III // CDP-diacylglycerol biosynthesis II // phosphatidylserine and phosphatidylethanolamine biosynthesis I // cardiolipin biosynthesis I	PWY-8401	superpathway of cardiolipin biosynthesis (bacteria)
aspartate superpathway	Superpathways	Superpathways	Bacteria <bacteria>	Escherichia coli	"S-adenosyl-L-methionine biosynthesis // NAD <i>de novo</i> biosynthesis I // superpathway of L-lysine, L-threonine and L-methionine biosynthesis I // L-aspartate biosynthesis"	PWY0-781	aspartate superpathway
NAD salvage pathway I (PNC VI cycle)	"Cofactor, Carrier, and Vitamin Biosynthesis"	NAD Biosynthesis	Bacteria <bacteria>	Escherichia coli // Salmonella enterica	ammonium + ATP + nicotinate adenine dinucleotide  ->  AMP + NAD+ + diphosphate + H+ // nicotinamide + H2O  ->  ammonium + nicotinate // ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  ->  L-glutamate + AMP + NAD+ + diphosphate + H+ // beta-nicotinamide D-ribonucleotide + H2O  ->  D-ribofuranose 5-phosphate + nicotinamide + H+ // nicotinate + 5-phospho-alpha-D-ribose 1-diphosphate + ATP + H2O  ->  beta-nicotinate D-ribonucleotide + ADP + diphosphate + phosphate // NAD+ + H2O  ->  AMP + beta-nicotinamide D-ribonucleotide + 2 H+ // beta-nicotinate D-ribonucleotide + ATP + H+  ->  nicotinate adenine dinucleotide + diphosphate	PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle)
colupulone and cohumulone biosynthesis	Secondary Metabolite Biosynthesis	Terpenophenolic Biosynthesis	Cannabaceae	Humulus lupulus	prenyl diphosphate + deoxycohumulone  ->  colupulone + diphosphate // ATP + isobutanoate + coenzyme A  ->  AMP + isobutanoyl-CoA + diphosphate // prenyl diphosphate + 4-prenylphlorisobutyrophenone  ->  deoxycohumulone + diphosphate // prenyl diphosphate + phlorisobutanophenone  ->  4-prenylphlorisobutyrophenone + diphosphate + H+ // deoxycohumulone + a reduced two electron carrier + dioxygen  ->  cohumulone + an oxidized electron carrier + H2O // isobutanoyl-CoA + 3 malonyl-CoA + 3 H+  ->  phlorisobutanophenone + 3 CO2 + 4 coenzyme A	PWY-5133	colupulone and cohumulone biosynthesis
2-deoxy-D-glucose 6-phosphate degradation	Carbohydrate Degradation	Sugar Degradation	Fungi // Bacteria <bacteria>	Aspergillus oryzae // Rhodotorula glutinis	"2-deoxy-D-glucose 6-phosphate + H2O  ->  2-deoxy-D-glucose + phosphate // 2-deoxy-D-glucose + dioxygen  ->  2-deoxy-D-glucono-1,5-lactone + hydrogen peroxide // 2-deoxy-D-glucono-1,5-lactone + H2O  ->  2-deoxy-D-gluconate + H+ // 2-deoxy-D-gluconate + NAD+  ->  3-dehydro-2-deoxy-D-gluconate + NADH + H+"	PWY-8121	2-deoxy-D-glucose 6-phosphate degradation
cardiolipin and phosphatidylethanolamine biosynthesis (<i>Xanthomonas</i>)	Superpathways // Fatty Acid and Lipid Biosynthesis	Cardiolipin Biosynthesis // Phosphatidylethanolamine Biosynthesis // Superpathways	Bacteria <bacteria>	Xanthomonas campestris // Xanthomonas campestris	phosphatidylserine and phosphatidylethanolamine biosynthesis I // a CDP-diacylglycerol + a phosphatidylglycerol  ->  a cardiolipin + CMP + H+ // a CDP-diacylglycerol + ethanolamine  ->  a phosphatidylethanolamine + CMP + H+	PWY-7509	cardiolipin and phosphatidylethanolamine biosynthesis (Xanthomonas)
3-(imidazol-5-yl)lactate salvage	Amino Acid Biosynthesis	L-histidine Biosynthesis	Proteobacteria	Comamonas testosteroni // Delftia acidovorans // Escherichia coli	L-histidine + 2-oxoglutarate  <-->  3-(imidazol-5-yl)pyruvate + L-glutamate // 3-(imidazol-5-yl)lactate + NAD(P)+  <-->  3-(imidazol-5-yl)pyruvate + NAD(P)H + H+	PWY-5029	3-(imidazol-5-yl)lactate salvage
hyperforin and adhyperforin biosynthesis	Secondary Metabolite Biosynthesis	Terpenophenolic Biosynthesis	Hypericum	Hypericum calycinum // Hypericum perforatum	prenyl diphosphate + 4-prenylphlorisovalerophenone  ->  deoxyhumulone + diphosphate // prenyl diphosphate + phlorisovalerophenone  ->  4-prenylphlorisovalerophenone + diphosphate + H+ // deoxyhumulone + geranyl diphosphate + prenyl diphosphate + H+  ->  adhyperforin + 2 diphosphate // 3-methylbutanoyl-CoA + 3 malonyl-CoA + 3 H+  ->  phlorisovalerophenone + 3 CO2 + 4 coenzyme A // deoxycohumulone + prenyl diphosphate + geranyl diphosphate + H+  ->  hyperforin + 2 diphosphate // prenyl diphosphate + 4-prenylphlorisobutyrophenone  ->  deoxycohumulone + diphosphate // prenyl diphosphate + phlorisobutanophenone  ->  4-prenylphlorisobutyrophenone + diphosphate + H+ // isobutanoyl-CoA + 3 malonyl-CoA + 3 H+  ->  phlorisobutanophenone + 3 CO2 + 4 coenzyme A	PWY-5808	hyperforin and adhyperforin biosynthesis
L-sorbose degradation	Carbohydrate Degradation	Sugar Degradation	Bacteria <bacteria> // Viridiplantae	Klebsiella pneumoniae	D-sorbitol 6-phosphate + NAD+  <-->  keto-D-fructose 6-phosphate + NADH + H+ // keto-L-sorbose 1-phosphate + NAD(P)H + H+  <-->  D-sorbitol 6-phosphate + NAD(P)+	P302-PWY	L-sorbose degradation
cardiolipin biosynthesis I	Fatty Acid and Lipid Biosynthesis	Cardiolipin Biosynthesis	Bacteria <bacteria>	Escherichia coli // Staphylococcus aureus	a CDP-diacylglycerol + sn-glycerol 3-phosphate  ->  CMP + a phosphatidylglycerophosphate + H+ // 2 a phosphatidylglycerol  ->  a cardiolipin + glycerol // a phosphatidylglycerophosphate + H2O  ->  a phosphatidylglycerol + phosphate	PWY-5668	cardiolipin biosynthesis I
L-histidine biosynthesis	Amino Acid Biosynthesis	L-histidine Biosynthesis	Archaea // Fungi // Viridiplantae // Bacteria <bacteria>	Bacillus subtilis // Brassica oleracea // Escherichia coli // Haemophilus influenzae // Saccharomyces cerevisiae // Salmonella enterica // Thermococcus onnurineus // Thermotoga maritima // Thermus thermophilus // Arabidopsis thaliana	1-(5-phospho-beta-D-ribosyl)-ATP + diphosphate  <-->  ATP + 5-phospho-alpha-D-ribose 1-diphosphate // 1-(5-phospho-beta-D-ribosyl)-AMP + H2O  ->  1-(5-phospho-beta-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide // 1-(5-phospho-beta-D-ribosyl)-ATP + H2O  ->  1-(5-phospho-beta-D-ribosyl)-AMP + diphosphate + H+ // 1-(5-phospho-beta-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide  ->  phosphoribulosylformimino-AICAR-phosphate // phosphoribulosylformimino-AICAR-phosphate + L-glutamine  ->  L-glutamate + D-erythro-1-(imidazol-4-yl)-glycerol 3-phosphate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + H+ // D-erythro-1-(imidazol-4-yl)-glycerol 3-phosphate  ->  3-(imidazol-4-yl)-2-oxopropyl phosphate + H2O // L-histidinol phosphate + 2-oxoglutarate  <-->  3-(imidazol-4-yl)-2-oxopropyl phosphate + L-glutamate // L-histidinol phosphate + H2O  ->  histidinol + phosphate // histidinol + NAD+  <-->  histidinal + NADH + H+ // histidinal + NAD+ + H2O  ->  L-histidine + NADH + 2 H+	HISTSYN-PWY	L-histidine biosynthesis
lupulone and humulone biosynthesis	Secondary Metabolite Biosynthesis	Terpenophenolic Biosynthesis	Cannabaceae	Humulus lupulus	ATP + 3-methylbutanoate + coenzyme A  ->  AMP + 3-methylbutanoyl-CoA + diphosphate // prenyl diphosphate + deoxyhumulone  ->  lupulone + diphosphate // deoxyhumulone + a reduced two electron carrier + dioxygen  ->  humulone + an oxidized electron carrier + H2O // prenyl diphosphate + 4-prenylphlorisovalerophenone  ->  deoxyhumulone + diphosphate // prenyl diphosphate + phlorisovalerophenone  ->  4-prenylphlorisovalerophenone + diphosphate + H+ // 3-methylbutanoyl-CoA + 3 malonyl-CoA + 3 H+  ->  phlorisovalerophenone + 3 CO2 + 4 coenzyme A	PWY-5132	lupulone and humulone biosynthesis
2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	Carbohydrate Degradation	Sugar Degradation	Bacteria <bacteria>	Escherichia coli	D-glycerate + ATP  ->  2-phospho-D-glycerate + ADP + H+ // 2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate + H2O  ->  D-mannopyranose 6-phosphate + D-glycerate	PWY0-1300	2-O-alpha-mannosyl-D-glycerate degradation
cardiolipin biosynthesis III	Fatty Acid and Lipid Biosynthesis	Cardiolipin Biosynthesis	Bacteria <bacteria>	Escherichia coli	a phosphatidylethanolamine + a phosphatidylglycerol  ->  a cardiolipin + ethanolamine // a phosphatidylglycerophosphate + H2O  ->  a phosphatidylglycerol + phosphate // a CDP-diacylglycerol + sn-glycerol 3-phosphate  ->  CMP + a phosphatidylglycerophosphate + H+	PWY0-1545	cardiolipin biosynthesis III
salicylate biosynthesis II	Aromatic Compound Biosynthesis	Salicylate Biosynthesis	Embryophyta	Catharanthus roseus // Cucumis sativus // Nicotiana tabacum // Arabidopsis thaliana	isochorismate + L-glutamate + ATP  ->  isochorismoyl-L-glutamate + AMP + diphosphate + H+ // isochorismoyl-L-glutamate  ->  salicylate + N-pyruvoyl-L-glutamate // chorismate  <-->  isochorismate	PWY-8321	salicylate biosynthesis II
cannabinoid biosynthesis	Secondary Metabolite Biosynthesis	Terpenophenolic Biosynthesis	Cannabaceae	Cannabis sativa	"cannabinolate + H+  ->  cannabinol + CO2 // Delta9-tetrahydrocannabinolate + dioxygen  ->  cannabinolate + 2 H2O // hexanoate + ATP + coenzyme A  ->  hexanoyl-CoA + AMP + diphosphate // olivetol synthase (tetraketide synthase) // olivetol synthase (triketide synthase) // 3,5,7-trioxododecanoyl-CoA  ->  olivetolate + coenzyme A + H+ // Delta9-tetrahydrocannabinolate + H+  ->  Delta9-tetrahydrocannabinol + CO2 // cannabidiolate + H+  ->  cannabidiol + CO2 // cannabichromenate + H+  ->  cannabichromene + CO2 // cannabigerolate + an oxidized electron carrier  ->  cannabichromenate + a reduced two electron carrier // cannabigerolate + dioxygen  ->  cannabidiolate + hydrogen peroxide // cannabigerolate + dioxygen  ->  Delta9-tetrahydrocannabinolate + hydrogen peroxide // geranyl diphosphate + olivetolate  ->  cannabigerolate + diphosphate"	PWY-5140	cannabinoid biosynthesis
stachyose degradation	Carbohydrate Degradation	Sugar Degradation	Viridiplantae	Cucumis melo // Cucumis sativus	alpha-D-glucopyranose 1-phosphate + UTP + H+  <-->  UDP-alpha-D-glucose + diphosphate // alpha-D-galactopyranose + ATP  <-->  alpha-D-galactose 1-phosphate + ADP + H+ // UDP-alpha-D-glucose + alpha-D-galactose 1-phosphate  <-->  UDP-alpha-D-galactose + alpha-D-glucopyranose 1-phosphate // raffinose + H2O  ->  alpha-D-galactopyranose + sucrose // stachyose + H2O  ->  raffinose + alpha-D-galactopyranose // UDP-alpha-D-glucose  <-->  UDP-alpha-D-galactose // alpha-D-galactose 1-phosphate + UTP + H+  <-->  UDP-alpha-D-galactose + diphosphate	PWY-6527	stachyose degradation
8-oxo-(d)GTP detoxification II	Metabolic Clusters // 8-oxo-GTP and 8-oxo-dGTP Detoxification	8-oxo-GTP and 8-oxo-dGTP Detoxification // Metabolic Clusters	Opisthokonta // Viridiplantae // Bacteria <bacteria>	Bacillus subtilis // Mycobacterium tuberculosis	8-oxo-GDP + H2O  ->  8-oxo-GMP + phosphate + H+ // 8-oxo-GTP + H2O  ->  8-oxo-GDP + phosphate + H+ // 8-oxo-dGDP + H2O  ->  8-oxo-dGMP + phosphate + H+ // 8-oxo-dGTP + H2O  ->  8-oxo-dGDP + phosphate + H+ // GTP + 2 hydroxyl radical  ->  8-oxo-GTP + H2O // dGTP + 2 hydroxyl radical  ->  8-oxo-dGTP + H2O	PWY-8061	8-oxo-(d)GTP detoxification II
salicylate biosynthesis I	Aromatic Compound Biosynthesis	Salicylate Biosynthesis	Bacteria <bacteria>	Mycobacterium tuberculosis // Mycobacterium tuberculosis // Pseudomonas aeruginosa // Yersinia enterocolitica // Yersinia pestis	isochorismate  ->  salicylate + pyruvate // chorismate  <-->  isochorismate	PWY-6406	salicylate biosynthesis I
adlupulone and adhumulone biosynthesis	Secondary Metabolite Biosynthesis	Terpenophenolic Biosynthesis	Cannabaceae	Humulus lupulus	deoxyadlupulone + a reduced two electron carrier + dioxygen  ->  adhumulone + an oxidized electron carrier + H2O // ATP + 2-methylbutanoate + coenzyme A  ->  AMP + (2S)-2-methylbutanoyl-CoA + diphosphate // (2S)-2-methylbutanoyl-CoA + 3 malonyl-CoA + 3 H+  ->  phlormethylbutanophenone + 3 CO2 + 4 coenzyme A // prenyl diphosphate + phlormethylbutanophenone  ->  4-prenylphlormethylbutanophenone + diphosphate + H+ // prenyl diphosphate + 4-prenylphlormethylbutanophenone  ->  deoxyadlupulone + diphosphate // prenyl diphosphate + deoxyadlupulone  ->  adlupulone + diphosphate	PWY-7857	adlupulone and adhumulone biosynthesis
fructose degradation	Carbohydrate Degradation	Sugar Degradation	Bacteria <bacteria> // Archaea	Escherichia coli	"ATP + beta-D-fructofuranose 1-phosphate  ->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+"	PWY0-1314	fructose degradation
methylsalicylate biosynthesis	Aromatic Compound Biosynthesis	Salicylate Biosynthesis	Magnoliopsida	Solanum lycopersicum	S-adenosyl-L-methionine + salicylate  ->  methylsalicylate + S-adenosyl-L-homocysteine	PWY18C3-22	methylsalicylate biosynthesis
superpathway of bitter acids biosynthesis	Metabolic Clusters // Superpathways // Secondary Metabolite Biosynthesis	Metabolic Clusters // Superpathways // Terpenophenolic Biosynthesis	Cannabaceae	Humulus lupulus	adlupulone and adhumulone biosynthesis // lupulone and humulone biosynthesis // colupulone and cohumulone biosynthesis	PWY-5134	superpathway of bitter acids biosynthesis
"1,5-anhydrofructose degradation"	Carbohydrate Degradation	Sugar Degradation	Bacteria <bacteria>	Ensifer adhaerens // Sinorhizobium meliloti	"alpha-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate // D-mannopyranose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate // D-mannopyranose + ATP  ->  D-mannopyranose 6-phosphate + ADP + H+ // 1,5-anhydro-D-mannitol + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  D-mannopyranose + an oxidized [NADPH-hemoprotein reductase] + H2O // 1,5-anhydro-D-mannitol + NAD(P)+  <-  1,5-anhydro-D-fructose + NAD(P)H + H+"	PWY-6992	"1,5-anhydrofructose degradation"
methylglyoxal degradation VIII	Methylglyoxal Detoxification // Aldehyde Degradation	Aldehyde Degradation // Methylglyoxal Detoxification	Fungi	Saccharomyces cerevisiae	(R)-lactate + 2 an oxidized c-type cytochrome  <-->  pyruvate + 2 a reduced c-type cytochrome + 2 H+ // (R)-S-lactoylglutathione + H2O  ->  glutathione + (R)-lactate + H+ // (R)-S-lactoylglutathione  <-->  methylglyoxal + glutathione	PWY-5386-1	methylglyoxal degradation VIII
8-oxo-(d)GTP detoxification I	Metabolic Clusters // 8-oxo-GTP and 8-oxo-dGTP Detoxification	8-oxo-GTP and 8-oxo-dGTP Detoxification // Metabolic Clusters	Opisthokonta // Viridiplantae // Bacteria <bacteria>	Escherichia coli // Homo sapiens // Saccharomyces cerevisiae // Arabidopsis thaliana	8-oxo-GTP + H2O  ->  8-oxo-GMP + diphosphate + H+ // 8-oxo-dGTP + H2O  ->  8-oxo-dGMP + diphosphate + H+ // GTP + 2 hydroxyl radical  ->  8-oxo-GTP + H2O // dGTP + 2 hydroxyl radical  ->  8-oxo-dGTP + H2O	PWY-6502	8-oxo-(d)GTP detoxification I
salicylate biosynthesis III	Aromatic Compound Biosynthesis	Salicylate Biosynthesis	Viridiplantae	Catharanthus roseus // Cucumis sativus // Nicotiana tabacum // Arabidopsis thaliana	salicyl-CoA + H2O  ->  salicylate + coenzyme A + H+ // benzoyl-CoA + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  salicyl-CoA + an oxidized [NADPH-hemoprotein reductase] + H2O	PWY-981	salicylate biosynthesis III
olivetol biosynthesis	Secondary Metabolite Biosynthesis	Terpenophenolic Biosynthesis	Cannabis	Cannabis sativa	"3,5,7-trioxododecanoyl-CoA  ->  olivetol + CO2 + coenzyme A // 3,5,7-trioxododecanoyl-CoA  ->  tetraketide pyrone + coenzyme A + H+ // 3,5-dioxodecanoyl-CoA  ->  triketide pyrone + coenzyme A + H+ // olivetol synthase (tetraketide synthase) // olivetol synthase (triketide synthase)"	PWY-7105	olivetol biosynthesis
VTC2 cycle	Carbohydrate Degradation	Sugar Degradation	Viridiplantae	Arabidopsis thaliana	GDP-alpha-D-mannose  ->  GDP-beta-L-galactose // GDP-beta-L-galactose + alpha-D-mannose 1-phosphate  ->  GDP-alpha-D-mannose + beta-L-galactose 1-phosphate	PWY4FS-12	VTC2 cycle
superpathway of methylglyoxal degradation	Superpathways // Aldehyde Degradation	Aldehyde Degradation // Superpathways	Bacteria <bacteria>	Escherichia coli	methylglyoxal degradation IV // methylglyoxal degradation III // methylglyoxal degradation I	METHGLYUT-PWY	superpathway of methylglyoxal degradation
gluconeogenesis I	Carbohydrate Biosynthesis	Gluconeogenesis	Fungi // Viridiplantae // Archaea // Bacteria <bacteria>	Brassica napus // Cucumis sativus // Escherichia coli // Glycine max // Hordeum vulgare // Nicotiana tabacum // Oryza sativa // Pisum sativum // Ricinus communis // Solanum lycopersicum // Solanum tuberosum // Vicia faba // Zea mays // Arabidopsis thaliana	"alpha-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate // (S)-malate + NAD+  <-->  oxaloacetate + NADH + H+ // (S)-malate + NAD+  ->  pyruvate + CO2 + NADH // D-glyceraldehyde 3-phosphate  <-->  glycerone phosphate // (S)-malate + NADP+  ->  pyruvate + CO2 + NADPH // pyruvate + ATP + H2O  <-->  phosphoenolpyruvate + AMP + phosphate + 2 H+ // oxaloacetate + ATP  <-->  CO2 + phosphoenolpyruvate + ADP // 2-phospho-D-glycerate  <-->  phosphoenolpyruvate + H2O // 2-phospho-D-glycerate  <-->  3-phospho-D-glycerate // 3-phospho-D-glycerate + ATP  <-->  3-phospho-D-glyceroyl phosphate + ADP // D-glyceraldehyde 3-phosphate + NAD+ + phosphate  <-->  3-phospho-D-glyceroyl phosphate + NADH + H+ // beta-D-fructofuranose 1,6-bisphosphate  <-->  glycerone phosphate + D-glyceraldehyde 3-phosphate // beta-D-fructofuranose 1,6-bisphosphate + H2O  ->  beta-D-fructofuranose 6-phosphate + phosphate"	GLUCONEO-PWY	gluconeogenesis I
sulfur reduction II (via polysulfide)	Inorganic Nutrient Metabolism	Sulfur Reduction	Bacteria <bacteria> // Archaea	Desulfovibrio desulfuricans // Pyrococcus furiosus // Wolinella succinogenes	(sulfide)n + H2  ->  hydrogen sulfide + (sulfide)n-1 // n sulfur(0) + hydrosulfide  ->  (sulfide)n+1 + H+	PWY-5364	sulfur reduction II (via polysulfide)
2-deoxy-&alpha;-D-ribose 1-phosphate degradation	Carbohydrate Degradation	Sugar Degradation	Bacteria <bacteria>	Escherichia coli	"acetaldehyde + coenzyme A + NAD+  <-->  acetyl-CoA + NADH + H+ // 2-deoxy-D-ribose 5-phosphate  <-->  D-glyceraldehyde 3-phosphate + acetaldehyde // D-deoxyribose 1,5-phosphomutase"	PWY-7180	2-deoxy-alpha-D-ribose 1-phosphate degradation
