"","X1","X2"
"1933","PWY-6859","all-trans-farnesol biosynthesis"
"1934","PWY-6861","the visual cycle I (vertebrates)"
"1935","PWY-6863","pyruvate fermentation to hexanol"
"1936","PWY-6871","3-methylbutanol biosynthesis"
"1937","PWY-6872","retinoate biosynthesis I"
"1938","PWY-6873","long chain fatty acid ester synthesis for microdiesel production"
"1939","PWY-6875","retinoate biosynthesis II"
"1940","PWY-6876","isopropanol biosynthesis"
"1941","PWY-6883","pyruvate fermentation to butanol II"
"1942","PWY-6886","1-butanol autotrophic biosynthesis"
"1943","PWY-6887","kauralexin biosynthesis"
"1944","PWY-6888","zealexin biosynthesis"
"1945","PWY-6890","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis"
"1946","PWY-6891","thiazole biosynthesis II (Bacillus)"
"1947","PWY-6892","thiazole biosynthesis I (E. coli)"
"1948","PWY-6893","thiamin diphosphate biosynthesis II (Bacillus)"
"1949","PWY-6894","thiamin diphosphate biosynthesis I (E. coli)"
"1950","PWY-6895","superpathway of thiamin diphosphate biosynthesis II"
"1951","PWY-6896","thiamin salvage I"
"1952","PWY-6897","thiamin salvage II"
"1953","PWY-6898","thiamin salvage III"
"1954","PWY-6899","base-degraded thiamin salvage"
"1955","PWY-6900","(Z)-butanethial-S-oxide biosynthesis"
"1956","PWY-6901","superpathway of glucose and xylose degradation"
"1957","PWY-6902","chitin degradation II"
"1958","PWY-6906","chitin derivatives degradation"
"1959","PWY-6907","thiamin diphosphate biosynthesis III (Staphylococcus)"
"1960","PWY-6908","thiamin diphosphate biosynthesis IV (eukaryotes)"
"1961","PWY-6909","thiazole biosynthesis III (eukaryotes)"
"1962","PWY-6910","hydroxymethylpyrimidine salvage"
"1963","PWY-6913","methylbutenol biosynthesis"
"1964","PWY-6914","sophoraflavanone G biosynthesis"
"1965","PWY-6915","pentalenolactone biosynthesis"
"1966","PWY-6917","vernolate biosynthesis III"
"1967","PWY-6919","neopentalenoketolactone and pentalenate biosynthesis"
"1968","PWY-6922","L-N&delta;-acetylornithine biosynthesis"
"1969","PWY-6923","ricinine degradation"
"1970","PWY-6926","pyrethrin I biosynthesis"
"1971","PWY-6927","chlorophyll a degradation II"
"1972","PWY-6928","superpathway of cholesterol degradation I (cholesterol oxidase)"
"1973","PWY-6930","phenolic malonylglucosides biosynthesis"
"1974","PWY-6931","seleno-amino acid detoxification and volatilization I"
"1975","PWY-6932","selenate reduction"
"1976","PWY-6933","seleno-amino acid detoxification and volatilization III"
"1977","PWY-6935","seleno-amino acid detoxification and volatilization II"
"1978","PWY-6936","seleno-amino acid biosynthesis"
"1979","PWY-6937","superpathway of testosterone and androsterone degradation"
"1980","PWY-6938","NADH repair"
"1981","PWY-6940","icosapentaenoate biosynthesis III (fungi)"
"1982","PWY-6941","styrene degradation"
"1983","PWY-6942","dTDP-D-desosamine biosynthesis"
"1984","PWY-6943","testosterone and androsterone degradation to androstendione"
"1985","PWY-6944","androstenedione degradation"
"1986","PWY-6945","cholesterol degradation to androstenedione I (cholesterol oxidase)"
"1987","PWY-6946","cholesterol degradation to androstenedione II (cholesterol dehydrogenase)"
"1988","PWY-6947","superpathway of cholesterol degradation II (cholesterol dehydrogenase)"
"1989","PWY-6948","sitosterol degradation to androstenedione"
"1990","PWY-6949","DIBOA-glucoside biosynthesis"
"1991","PWY-6950","DIMBOA-glucoside biosynthesis"
"1992","PWY-6952","glycerophosphodiester degradation"
"1993","PWY-6953","dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis"
"1994","PWY-6954","superpathway of aromatic compound degradation via 2-oxopent-4-enoate"
"1995","PWY-6955","lincomycin biosynthesis"
"1996","PWY-6956","naphthalene degradation to acetyl-CoA"
"1997","PWY-6957","mandelate degradation to acetyl-CoA"
"1998","PWY-6958","icosapentaenoate biosynthesis I (lower eukaryotes)"
"1999","PWY-6959","L-ascorbate degradation V"
"2000","PWY-695","abscisic acid biosynthesis"
"2001","PWY-6960","L-ascorbate degradation III"
"2002","PWY-6961","L-ascorbate degradation II (bacterial, aerobic)"
"2003","PWY-6962","superpathway of trimethylamine degradation"
"2004","PWY-6963","ammonia assimilation cycle I"
"2005","PWY-6964","ammonia assimilation cycle II"
"2006","PWY-6965","methylamine degradation II"
"2007","PWY-6966","methanol oxidation to formaldehyde I"
"2008","PWY-6967","methylamine degradation I"
"2009","PWY-6968","trimethylamine degradation"
"2010","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"
"2011","PWY-6970","acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)"
"2012","PWY-6971","oleandomycin biosynthesis"
"2013","PWY-6972","oleandomycin activation/inactivation"
"2014","PWY-6973","dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis"
"2015","PWY-6974","dTDP-L-olivose biosynthesis"
"2016","PWY-6975","superpathway of erythromycin biosynthesis (without sugar biosynthesis)"
"2017","PWY-6976","dTDP-L-mycarose biosynthesis"
"2018","PWY-6977","superpathway of erythromycin biosynthesis"
"2019","PWY-6978","plastoquinol-9 biosynthesis II"
"2020","PWY-6981","chitin biosynthesis"
"2021","PWY-6982","umbelliferone biosynthesis"
"2022","PWY-6983","tetrahydrobiopterin biosynthesis III"
"2023","PWY-6984","lipoate salvage II"
"2024","PWY-6986","alginate degradation"
"2025","PWY-6987","lipoate biosynthesis and incorporation III (Bacillus)"
"2026","PWY-6989","(-)-camphor degradation"
"2027","PWY-6990","(+)-camphor biosynthesis"
"2028","PWY-6991","(-)-camphor biosynthesis"
"2029","PWY-6992","1,5-anhydrofructose degradation"
"2030","PWY-6993","nicotine degradation II (pyrrolidine pathway)"
"2031","PWY-6994","L-pyrrolysine biosynthesis"
"2032","PWY-6995","5-hydroxymethylfurfural degradation"
"2033","PWY-6996","daidzin and daidzein degradation"
"2034","PWY-6997","furfural degradation"
"2035","PWY-6998","CDP-D-arabitol biosynthesis"
"2036","PWY-6999","theophylline degradation"
"2037","PWY-699","brassinosteroid biosynthesis I"
"2038","PWY-6","GDP-L-fucose biosynthesis II (from L-fucose)"
"2039","PWY-7000","kanamycin biosynthesis"
"2040","PWY-7002","4-hydroxyacetophenone degradation"
"2041","PWY-7003","glycerol degradation to butanol"
"2042","PWY-7006","4-amino-3-hydroxybenzoate degradation"
"2043","PWY-7007","methyl ketone biosynthesis"
"2044","PWY-7008","2-hydroxybiphenyl degradation"
"2045","PWY-7009","2,2'-dihydroxybiphenyl degradation"
"2046","PWY-7010","2-propylphenol degradation"
"2047","PWY-7011","2-isopropylphenol degradation"
"2048","PWY-7013","L-1,2-propanediol degradation"
"2049","PWY-7014","paromamine biosynthesis I"
"2050","PWY-7015","ribostamycin biosynthesis"
"2051","PWY-7016","neomycin biosynthesis"
"2052","PWY-7018","paromomycin biosynthesis"
"2053","PWY-7019","butirosin biosynthesis"
"2054","PWY-701","L-methionine degradation II"
"2055","PWY-7020","superpathway of butirocin biosynthesis"
"2056","PWY-7021","superpathway of neomycin biosynthesis"
"2057","PWY-7022","paromamine biosynthesis II"
"2058","PWY-7024","superpathway of the 3-hydroxypropanoate cycle"
"2059","PWY-7025","gentamicin biosynthesis"
"2060","PWY-7026","terminal olefins biosynthesis I"
"2061","PWY-7027","hentriaconta-3,6,9,12,15,19,22,25,28-nonaene biosynthesis"
"2062","PWY-7028","UDP-N,N'-diacetylbacillosamine biosynthesis"
"2063","PWY-7029","terminal olefins biosynthesis II"
"2064","PWY-702","L-methionine biosynthesis II"
"2065","PWY-7031","protein N-glycosylation (bacterial)"
"2066","PWY-7032","alkane biosynthesis I"
"2067","PWY-7033","alkane biosynthesis II"
"2068","PWY-7035","(Z)-9-tricosene biosynthesis"
"2069","PWY-7036","very long chain fatty acid biosynthesis II"
"2070","PWY-7037","protein O-glycosylation (bacterial)"
"2071","PWY-7039","phosphatidate metabolism, as a signaling molecule"
"2072","PWY-7040","violacein biosynthesis"
"2073","PWY-7041","the visual cycle II (molluscs)"
"2074","PWY-7042","the visual cycle (insects)"
"2075","PWY-7043","11-cis-3-hydroxyretinal biosynthesis"
"2076","PWY-7044","5-nitroanthranilate degradation"
"2077","PWY-7045","mithramycin biosynthesis"
"2078","PWY-7046","4-coumarate degradation (anaerobic)"
"2079","PWY-7049","icosapentaenoate biosynthesis II (metazoa)"
"2080","PWY-7050","icosapentaenoate biosynthesis IV (bacteria)"
"2081","PWY-7052","cyanophycin metabolism"
"2082","PWY-7053","docosahexaenoate biosynthesis I (lower eukaryotes)"
"2083","PWY-7054","N-acetylglutaminylglutamine amide biosynthesis"
"2084","PWY-7055","daphnetin modification"
"2085","PWY-7056","daphnin interconversion"
"2086","PWY-7057","cichoriin interconversion"
"2087","PWY-7058","esculetin modification"
"2088","PWY-7059","fumigaclavine biosynthesis"
"2089","PWY-7064","3-amino-3-phenylpropanoyl-CoA biosynthesis"
"2090","PWY-7065","2&alpha;,7&beta;-dihydroxylation of taxusin"
"2091","PWY-7066","glycyrrhetinate biosynthesis"
"2092","PWY-7067","betulinate biosynthesis"
"2093","PWY-7068","ursolate biosynthesis"
"2094","PWY-7069","oleanolate biosynthesis"
"2095","PWY-7070","steviol biosynthesis"
"2096","PWY-7071","steviol glucoside biosynthesis (rebaudioside A biosynthesis)"
"2097","PWY-7072","hopanoid biosynthesis (bacteria)"
"2098","PWY-7074","phenylethanol glycoconjugate biosynthesis"
"2099","PWY-7075","phenylethyl acetate biosynthesis"
"2100","PWY-7076","3,5-dimethoxytoluene biosynthesis"
"2101","PWY-7077","N-acetyl-D-galactosamine degradation"
"2102","PWY-7079","geodin biosynthesis"
"2103","PWY-7080","asterrate biosynthesis"
"2104","PWY-7081","4-aminophenol degradation"
"2105","PWY-7082","ammonia oxidation IV (autotrophic ammonia oxidizers)"
"2106","PWY-7084","nitrifier denitrification"
"2107","PWY-7085","triethylamine degradation"
"2108","PWY-7087","2-methylisoborneol biosynthesis"
"2109","PWY-7088","taxiphyllin biosynthesis"
"2110","PWY-7089","taxiphyllin bioactivation"
"2111","PWY-7090","UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis"
"2112","PWY-7091","linustatin bioactivation"
"2113","PWY-7092","neolinustatin bioactivation"
"2114","PWY-7093","vicianin bioactivation"
"2115","PWY-7094","fatty acid salvage"
"2116","PWY-7095","3,4-dihydroxymandelonitrile &beta;-D-glucose biosynthesis"
"2117","PWY-7096","triclosan resistance"
"2118","PWY-7097","vanillin and vanillate degradation I"
"2119","PWY-7098","vanillin and vanillate degradation II"
"2120","PWY-7100","spinosyn A biosynthesis"
"2121","PWY-7101","5-deoxystrigol biosynthesis"
"2122","PWY-7102","bisabolene biosynthesis"
"2123","PWY-7104","dTDP-L-megosamine biosynthesis"
"2124","PWY-7105","olivetol biosynthesis (olivetol synthase by-products synthesis)"
"2125","PWY-7106","erythromycin D biosynthesis"
"2126","PWY-7108","erythromycin A biosynthesis"
"2127","PWY-7109","megalomicin A biosynthesis"
"2128","PWY-7110","superpathway of megalomicin A biosynthesis"
"2129","PWY-7111","pyruvate fermentation to isobutanol (engineered)"
"2130","PWY-7112","4-hydroxy-2-nonenal detoxification"
"2131","PWY-7113","furcatin degradation"
"2132","PWY-7114","tea aroma glycosidic precursor bioactivation"
"2133","PWY-7115","C4 photosynthetic carbon assimilation cycle, NAD-ME type"
"2134","PWY-7117","C4 photosynthetic carbon assimilation cycle, PEPCK type"
"2135","PWY-7118","chitin degradation to ethanol"
"2136","PWY-7119","sphingolipid recycling and degradation (yeast)"
"2137","PWY-7120","esterified suberin biosynthesis"
"2138","PWY-7124","ethylene biosynthesis V (engineered)"
"2139","PWY-7126","ethylene biosynthesis IV"
"2140","PWY-7127","CDP-D-mannitol biosynthesis"
"2141","PWY-7128","nicotine degradation III (VPP pathway)"
"2142","PWY-7129","quercetin glucoside biosynthesis (Allium)"
"2143","PWY-7130","L-glucose degradation"
"2144","PWY-7131","CMP-legionaminate biosynthesis II"
"2145","PWY-7133","quercetin glucoside degradation (Allium)"
"2146","PWY-7134","rutin degradation (plants)"
"2147","PWY-7135","emetine biosynthesis"
"2148","PWY-7136","&beta; myrcene degradation"
"2149","PWY-7137","quercetin gentiotetraside biosynthesis"
"2150","PWY-7138","noscapine biosynthesis"
"2151","PWY-7139","sesaminol glucoside biosynthesis"
"2152","PWY-7140","myricetin gentiobioside biosynthesis"
"2153","PWY-7141","linalool biosynthesis II"
"2154","PWY-7142","cyanide detoxification II"
"2155","PWY-7143","kaempferol gentiobioside biosynthesis"
"2156","PWY-7145","genistin gentiobioside biosynthesis"
"2157","PWY-7147","8-amino-7-oxononanoate biosynthesis II"
"2158","PWY-7149","superpathway polymethylated quercetin/quercetagetin glucoside biosynthesis (Chrysosplenium)"
"2159","PWY-7150","polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium)"
"2160","PWY-7151","polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium)"
"2161","PWY-7152","pinolenate and coniferonate biosynthesis"
"2162","PWY-7153","grixazone biosynthesis"
"2163","PWY-7154","ergosterol biosynthesis II"
"2164","PWY-7155","7-dehydroporiferasterol biosynthesis"
"2165","PWY-7156","superpathway of ergosterol biosynthesis II"
"2166","PWY-7157","eupatolitin 3-O-glucoside biosynthesis"
"2167","PWY-7158","L-phenylalanine degradation V"
"2168","PWY-7159","chlorophyllide a biosynthesis III (aerobic, light independent)"
"2169","PWY-7160","polymethylated myricetin biosynthesis (tomato)"
"2170","PWY-7161","polymethylated quercetin biosynthesis"
"2171","PWY-7163","polymethylated kaempferol biosynthesis"
"2172","PWY-7164","chlorophyll a degradation III"
"2173","PWY-7165","L-ascorbate biosynthesis VI (engineered pathway)"
"2174","PWY-7166","kaempferide triglycoside biosynthesis"
"2175","PWY-7167","choline degradation III"
"2176","PWY-7168","flavonol acylglucoside biosynthesis I - kaempferol derivatives"
"2177","PWY-7169","hyperxanthone E biosynthesis"
"2178","PWY-7170","phytochromobilin biosynthesis"
"2179","PWY-7171","flavonol acylglucoside biosynthesis II - isorhamnetin derivatives"
"2180","PWY-7172","flavonol acylglucoside biosynthesis III - quercetin derivatives"
"2181","PWY-7173","quercetin triglucoside biosynthesis"
"2182","PWY-7174","S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II"
"2183","PWY-7175","nostoxanthin biosynthesis"
"2184","PWY-7176","UTP and CTP de novo biosynthesis"
"2185","PWY-7177","UTP and CTP dephosphorylation II"
"2186","PWY-7178","ethylene glycol biosynthesis"
"2187","PWY-7179-1","purine deoxyribonucleosides degradation"
"2188","PWY-7179","purine deoxyribonucleosides degradation I"
"2189","PWY-7180","2'-deoxy-&alpha;-D-ribose 1-phosphate degradation"
"2190","PWY-7181","pyrimidine deoxyribonucleosides degradation"
"2191","PWY-7182","linalool biosynthesis I"
"2192","PWY-7183","pyrimidine nucleobases salvage I"
"2193","PWY-7184","pyrimidine deoxyribonucleotides de novo biosynthesis I"
"2194","PWY-7185","UTP and CTP dephosphorylation I"
"2195","PWY-7186","superpathway of scopolin and esculin biosynthesis"
"2196","PWY-7187","pyrimidine deoxyribonucleotides de novo biosynthesis II"
"2197","PWY-7188","C-glycosylflavone biosynthesis II"
"2198","PWY-7189","C-glycosylflavone biosynthesis III"
"2199","PWY-7191","kaempferol diglycoside biosynthesis (pollen-specific)"
"2200","PWY-7192","quercetin diglycoside biosynthesis (pollen-specific)"
"2201","PWY-7193","pyrimidine ribonucleosides salvage I"
"2202","PWY-7194","pyrimidine nucleobases salvage II"
"2203","PWY-7195","pyrimidine ribonucleosides salvage III"
"2204","PWY-7196","superpathway of pyrimidine ribonucleosides salvage"
"2205","PWY-7197","pyrimidine deoxyribonucleotide phosphorylation"
"2206","PWY-7198","pyrimidine deoxyribonucleotides de novo biosynthesis IV"
"2207","PWY-7199","pyrimidine deoxyribonucleosides salvage"
"2208","PWY-7200","superpathway of pyrimidine deoxyribonucleoside salvage"
"2209","PWY-7204","pyridoxal 5'-phosphate salvage II (plants)"
"2210","PWY-7205","CMP phosphorylation"
"2211","PWY-7206","pyrimidine deoxyribonucleotides dephosphorylation"
"2212","PWY-7208","superpathway of pyrimidine nucleobases salvage"
"2213","PWY-7209","superpathway of pyrimidine ribonucleosides degradation"
"2214","PWY-7210","pyrimidine deoxyribonucleotides biosynthesis from CTP"
"2215","PWY-7211","superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis"
"2216","PWY-7212","baicalein metabolism"
"2217","PWY-721","3-methylquinoline degradation"
"2218","PWY-7213","wogonin metabolism"
"2219","PWY-7214","baicalein degradation (hydrogen peroxide detoxification)"
"2220","PWY-7216","(R)- and (S)-3-hydroxybutanoate biosynthesis"
"2221","PWY-7218","photosynthetic 3-hydroxybutanoate biosynthesis (engineered)"
"2222","PWY-7219","adenosine ribonucleotides de novo biosynthesis"
"2223","PWY-7220","adenosine deoxyribonucleotides de novo biosynthesis II"
"2224","PWY-7221","guanosine ribonucleotides de novo biosynthesis"
"2225","PWY-7222","guanosine deoxyribonucleotides de novo biosynthesis II"
"2226","PWY-7224","purine deoxyribonucleosides salvage"
"2227","PWY-7226","guanosine deoxyribonucleotides de novo biosynthesis I"
"2228","PWY-7227","adenosine deoxyribonucleotides de novo biosynthesis"
"2229","PWY-7228","superpathway of guanosine nucleotides de novo biosynthesis I"
"2230","PWY-7229","superpathway of adenosine nucleotides de novo biosynthesis I"
"2231","PWY-722","nicotinate degradation I"
"2232","PWY-7230","ubiquinol-6 biosynthesis from 4-aminobenzoate (eukaryotic)"
"2233","PWY-7232","gibberellin biosynthesis V"
"2234","PWY-7233","ubiquinol-6 bypass biosynthesis (eukaryotic)"
"2235","PWY-7234","inosine-5'-phosphate biosynthesis III"
"2236","PWY-7235","superpathway of ubiquinol-6 biosynthesis (eukaryotic)"
"2237","PWY-7236","mycocyclosin biosynthesis"
"2238","PWY-7237","myo-, chiro- and scillo-inositol degradation"
"2239","PWY-7238","sucrose biosynthesis II"
"2240","PWY-723","alkylnitronates degradation"
"2241","PWY-7241","myo-inositol degradation II"
"2242","PWY-7242","D-fructuronate degradation"
"2243","PWY-7245","superpathway NAD/NADP - NADH/NADPH interconversion (yeast)"
"2244","PWY-7246","pectin degradation II"
"2245","PWY-7247","&beta;-D-glucuronide and D-glucuronate degradation"
"2246","PWY-7248","pectin degradation III"
"2247","PWY-724","superpathway of L-lysine, L-threonine and L-methionine biosynthesis II"
"2248","PWY-7250","[2Fe-2S] iron-sulfur cluster biosynthesis"
"2249","PWY-7251","pentacyclic triterpene biosynthesis"
"2250","PWY-7252","luteolinidin 5-O-glucoside biosynthesis"
"2251","PWY-7253","apigeninidin 5-O-glucoside biosynthesis"
"2252","PWY-7254","TCA cycle VII (acetate-producers)"
"2253","PWY-7255","ergothioneine biosynthesis I (bacteria)"
"2254","PWY-7256","cyanidin diglucoside biosynthesis (acyl-glucose dependent)"
"2255","PWY-7259","pelargonidin diglucoside biosynthesis (acyl-glucose dependent)"
"2256","PWY-7260","delphinidin diglucoside biosynthesis (acyl-glucose dependent)"
"2257","PWY-7261","anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)"
"2258","PWY-7262","rose anthocyanin biosynthesis II (via cyanidin 3-O-&beta;-D-glucoside)"
"2259","PWY-7265","lampranthin biosynthesis"
"2260","PWY-7267","anthocyanin biosynthesis (pelargonidin 3-O-glucoside)"
"2261","PWY-7268","NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)"
"2262","PWY-7269","NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)"
"2263","PWY-7270","L-methionine salvage cycle II (plants)"
"2264","PWY-7274","D-cycloserine biosynthesis"
"2265","PWY-7275","L-homophenylalanine biosynthesis"
"2266","PWY-7277","sphingolipid biosynthesis (mammals)"
"2267","PWY-7279","aerobic respiration II (cytochrome c) (yeast)"
"2268","PWY-7280","ternatin C3 biosynthesis"
"2269","PWY-7282","4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)"
"2270","PWY-7283","wybutosine biosynthesis"
"2271","PWY-7285","methylwyosine biosynthesis"
"2272","PWY-7286","7-(3-amino-3-carboxypropyl)-wyosine biosynthesis"
"2273","PWY-7287","novobiocin biosynthesis"
"2274","PWY-7288","fatty acid &beta;-oxidation (peroxisome, yeast)"
"2275","PWY-7289","L-cysteine biosynthesis V"
"2276","PWY-7290","Escherichia coli serotype O86 O-antigen biosynthesis"
"2277","PWY-7291","oleate &beta;-oxidation (isomerase-dependent, yeast)"
"2278","PWY-7292","oleate &beta;-oxidation (thioesterase-dependent, yeast)"
"2279","PWY-7294","xylose degradation IV"
"2280","PWY-7295","L-arabinose degradation IV"
"2281","PWY-7297","octopamine biosynthesis"
"2282","PWY-7298","nevadensin biosynthesis"
"2283","PWY-7299","progesterone biosynthesis"
"2284","PWY-7300","ecdysone and 20-hydroxyecdysone biosynthesis"
"2285","PWY-7301","dTDP-&beta;-L-noviose biosynthesis"
"2286","PWY-7303","3-dimethylallyl-4-hydroxybenzoate biosynthesis"
"2287","PWY-7304","3-amino-4,7-dihydroxy-coumarin biosynthesis"
"2288","PWY-7305","superpathway of steroid hormone biosynthesis"
"2289","PWY-7306","estradiol biosynthesis II"
"2290","PWY-7307","oleate &beta;-oxidation (reductase-dependent, yeast)"
"2291","PWY-7308","acrylonitrile degradation I"
"2292","PWY-7309","acrylonitrile degradation II"
"2293","PWY-7310","D-glucosaminate degradation"
"2294","PWY-7312","dTDP-D-&beta;-fucofuranose biosynthesis"
"2295","PWY-7315","dTDP-N-acetylthomosamine biosynthesis"
"2296","PWY-7316","dTDP-N-acetylviosamine biosynthesis"
"2297","PWY-7317","superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis"
"2298","PWY-7318","dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis"
"2299","PWY-7321","ecdysteroid metabolism (arthropods)"
"2300","PWY-7323","superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis"
"2301","PWY-7325","salvigenin biosynthesis"
"2302","PWY-7328","superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis"
"2303","PWY-7330","UDP-N-acetyl-&beta;-L-fucosamine biosynthesis"
"2304","PWY-7331","UDP-N-acetyl-&beta;-L-quinovosamine biosynthesis"
"2305","PWY-7332","superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis"
"2306","PWY-7333","UDP-N-acetyl-&alpha;-D-fucosamine biosynthesis"
"2307","PWY-7334","UDP-N-acetyl-&alpha;-D-quinovosamine biosynthesis"
"2308","PWY-7335","UDP-N-acetyl-&alpha;-D-mannosaminouronate biosynthesis"
"2309","PWY-7336","UDP-N-acetyl-&alpha;-D-galactosaminuronate biosynthesis"
"2310","PWY-7337","10-cis-heptadecenoyl-CoA degradation (yeast)"
"2311","PWY-7338","10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)"
"2312","PWY-7339","10-trans-heptadecenoyl-CoA degradation (MFE-dependent, yeast)"
"2313","PWY-7340","9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)"
"2314","PWY-7341","superpathway of hyoscyamine and scopolamine biosynthesis"
"2315","PWY-7342","superpathway of nicotine biosynthesis"
"2316","PWY-7343","UDP-glucose biosynthesis"
"2317","PWY-7344","UDP-D-galactose biosynthesis"
"2318","PWY-7345","superpathway of anaerobic sucrose degradation"
"2319","PWY-7346","UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)"
"2320","PWY-7347","sucrose biosynthesis III"
"2321","PWY-7351","pyruvate fermentation to opines"
"2322","PWY-7352","daunorubicin biosynthesis"
"2323","PWY-7354","aclacinomycin biosynthesis"
"2324","PWY-7355","doxorubicin biosynthesis"
"2325","PWY-7356","thiamin salvage IV (yeast)"
"2326","PWY-7357","thiamin formation from pyrithiamine and oxythiamine (yeast)"
"2327","PWY-735","jasmonic acid biosynthesis"
"2328","PWY-7363","papaverine biosynthesis"
"2329","PWY-7366","phosphatidylglycerol degradation"
"2330","PWY-7367","phosphatidylcholine resynthesis via glycerophosphocholine"
"2331","PWY-7369","thiamin triphosphate metabolism"
"2332","PWY-7371","1,4-dihydroxy-6-naphthoate biosynthesis II"
"2333","PWY-7372","demethylmenaquinol-6 biosynthesis II"
"2334","PWY-7373","superpathway of demethylmenaquinol-6 biosynthesis II"
"2335","PWY-7374","1,4-dihydroxy-6-naphthoate biosynthesis I"
"2336","PWY-7375","mRNA capping I"
"2337","PWY-7376","cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)"
"2338","PWY-7377","cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)"
"2339","PWY-7378","aminopropanol phosphate biosynthesis II"
"2340","PWY-7379","mRNA capping II"
"2341","PWY-7380","biotin biosynthesis from 8-amino-7-oxononanoate II"
"2342","PWY-7382","lipoate biosynthesis and incorporation (pyruvate dehydrogenase and oxoglutarate dehydrogenase, yeast)"
"2343","PWY-7383","anaerobic energy metabolism (invertebrates, cytosol)"
"2344","PWY-7384","anaerobic energy metabolism (invertebrates, mitochondrial)"
"2345","PWY-7385","1,3-propanediol biosynthesis (engineered)"
"2346","PWY-7387","hypotaurine degradation"
"2347","PWY-7388","octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"
"2348","PWY-7389","superpathway of anaerobic energy metabolism (invertebrates)"
"2349","PWY-7391","isoprene biosynthesis II (engineered)"
"2350","PWY-7392","taxadiene biosynthesis (engineered)"
"2351","PWY-7393","&beta;-carotene biosynthesis (engineered)"
"2352","PWY-7394","urate degradation to allantoin II"
"2353","PWY-7395","D-galactosamine and N-acetyl-D-galactosamine degradation"
"2354","PWY-7396","butanol and isobutanol biosynthesis (engineered)"
"2355","PWY-7397","naringenin biosynthesis (engineered)"
"2356","PWY-7398","coumarins biosynthesis (engineered)"
"2357","PWY-7399","methylphosphonate degradation II"
"2358","PWY-7400","L-arginine biosynthesis IV (archaebacteria)"
"2359","PWY-7401","crotonate fermentation (to acetate and cyclohexane carboxylate)"
"2360","PWY-7402","benzoate fermentation (to acetate and cyclohexane carboxylate)"
"2361","PWY-7403","tetramethylpyrazine degradation"
"2362","PWY-7404","ceramide phosphoethanolamine biosynthesis"
"2363","PWY-7405","aurachin RE biosynthesis"
"2364","PWY-7407","aurachin A, B, C and D biosynthesis"
"2365","PWY-7409","phospholipid remodeling (phosphatidylethanolamine, yeast)"
"2366","PWY-7410","ipsdienol biosynthesis"
"2367","PWY-7411","superpathway of phosphatidate biosynthesis (yeast)"
"2368","PWY-7412","mycinamicin biosynthesis"
"2369","PWY-7413","dTDP-6-deoxy-&alpha;-D-allose biosynthesis"
"2370","PWY-7414","dTDP-&alpha;-D-mycaminose biosynthesis"
"2371","PWY-7415","tylosin biosynthesis"
"2372","PWY-7416","phospholipid remodeling (phosphatidylcholine, yeast)"
"2373","PWY-7417","phospholipid remodeling (phosphatidate, yeast)"
"2374","PWY-7419","FR-900098 and FR-33289 antibiotics biosynthesis"
"2375","PWY-741","p-cymene degradation to p-cumate"
"2376","PWY-7420","monoacylglycerol metabolism (yeast)"
"2377","PWY-7421","narbomycin, pikromycin and novapikromycin biosynthesis"
"2378","PWY-7422","methymycin, neomethymycin and novamethymycin biosynthesis"
"2379","PWY-7423","bombykol biosynthesis"
"2380","PWY-7424","sterol:steryl ester interconversion (yeast)"
"2381","PWY-7425","2-chloroacrylate degradation I"
"2382","PWY-7426","mannosyl-glycoprotein N-acetylglucosaminyltransferases"
"2383","PWY-7428","2-chloroacrylate degradation II"
"2384","PWY-7429","arsenite oxidation II (respiratory)"
"2385","PWY-7430","indole degradation to anthranil and anthranilate"
"2386","PWY-7431","aromatic biogenic amine degradation (bacteria)"
